Date,Symbol,Series,Prev_Close,Open,High,Low,Last_Close,VWAP,Volume
01-01-1996,RELIANCE,EQ,204.65,205,206.1,203.65,205.75,205.26,3717450
02-01-1996,RELIANCE,EQ,205.75,205.25,206.25,202.65,204.15,204.13,6024650
03-01-1996,RELIANCE,EQ,204.15,207.5,216.95,205.25,205.7,207.04,7473500
04-01-1996,RELIANCE,EQ,205.7,203.75,204.4,201.05,203.8,202.47,7744000
05-01-1996,RELIANCE,EQ,203.8,203,203,200.65,202.4,202.05,5952000
08-01-1996,RELIANCE,EQ,202.4,202,202.15,192.3,194.3,197.57,6675550
09-01-1996,RELIANCE,EQ,194.3,188.55,192,182.25,188.7,186.15,13880150
10-01-1996,RELIANCE,EQ,188.7,185,189.45,183,183.85,186.24,9875700
11-01-1996,RELIANCE,EQ,183.85,182,190.5,181.75,189.6,185.82,14625600
12-01-1996,RELIANCE,EQ,189.6,191,192.45,186.35,187.6,188.95,13377500
15-01-1996,RELIANCE,EQ,187.6,187.05,188,184.6,185.65,186.15,7139950
16-01-1996,RELIANCE,EQ,185.65,185,187,184.4,186,185.71,7756400
17-01-1996,RELIANCE,EQ,186,185,185.25,177.05,178.6,181.66,10697700
18-01-1996,RELIANCE,EQ,178.6,174.05,176.9,171.8,173.65,174.42,13478000
19-01-1996,RELIANCE,EQ,173.65,171.25,173.4,169.45,170.6,171.23,11586900
22-01-1996,RELIANCE,EQ,170.6,171.15,175.75,171,173.5,173.8,12089550
23-01-1996,RELIANCE,EQ,173.5,174.1,174.85,157,166.15,170.68,12671700
24-01-1996,RELIANCE,EQ,166.15,164.7,165.7,158,160.45,161.39,12538400
25-01-1996,RELIANCE,EQ,160.45,160.1,160.8,152.75,153.7,157.11,12883650
29-01-1996,RELIANCE,EQ,153.7,153,167.25,152.05,165.8,160.64,23310600
30-01-1996,RELIANCE,EQ,165.8,171,189,168.5,180.7,174.76,37914350
31-01-1996,RELIANCE,EQ,180.7,179,185.75,172.25,176.75,179.43,26118950
01-02-1996,RELIANCE,EQ,176.75,175,185,174.5,183.85,180.21,22865050
02-02-1996,RELIANCE,EQ,183.85,188.75,206,188.75,203.8,196.45,29231000
05-02-1996,RELIANCE,EQ,203.8,215,225.2,208.55,220.75,216.42,43646350
06-02-1996,RELIANCE,EQ,220.75,226.05,230,197.6,202.25,218.04,44354450
07-02-1996,RELIANCE,EQ,202.25,191.05,208,189.05,206,201.29,31970000
08-02-1996,RELIANCE,EQ,206,208.1,227.65,206,224,214.12,29335550
09-02-1996,RELIANCE,EQ,224,232,242,224.1,237,233.49,35504550
12-02-1996,RELIANCE,EQ,237,231,235,219,222.15,228.02,34689050
13-02-1996,RELIANCE,EQ,222.15,220,244.15,218.1,235.5,225.63,36382650
14-02-1996,RELIANCE,EQ,235.5,241.5,244.95,233.85,235.65,238.52,22223700
15-02-1996,RELIANCE,EQ,235.65,230,237.5,228,231.9,233.05,24961300
16-02-1996,RELIANCE,EQ,231.9,228,230.25,226.05,227.8,228.1,17696100
19-02-1996,RELIANCE,EQ,227.8,232,235.2,228.75,230.1,232.19,18502450
20-02-1996,RELIANCE,EQ,230.1,230,230.95,215,217.95,223.7,22818950
22-02-1996,RELIANCE,EQ,217.95,223,231,221.05,229.45,226.75,21905900
23-02-1996,RELIANCE,EQ,229.45,229,229.5,223.2,227,226.29,19497250
26-02-1996,RELIANCE,EQ,227,229.5,234.25,226.05,227.5,230.72,19456750
27-02-1996,RELIANCE,EQ,227.5,228.8,230,221.05,224.9,225.17,19368600
28-02-1996,RELIANCE,EQ,224.9,229.25,231.8,225.5,226,228.67,15274700
29-02-1996,RELIANCE,EQ,226,224,224.8,210.5,211.85,217.19,24917100
01-03-1996,RELIANCE,EQ,211.85,213.5,216.2,208.55,213.05,212.61,25819450
04-03-1996,RELIANCE,EQ,213.05,214,215,208.4,210.85,211.62,24042700
06-03-1996,RELIANCE,EQ,210.85,214.5,219.8,212.6,218.35,215.93,19417300
07-03-1996,RELIANCE,EQ,218.35,221.4,225.25,219.25,220.3,222.37,30505050
08-03-1996,RELIANCE,EQ,220.3,217.5,220,214.75,219.15,217.21,23093700
11-03-1996,RELIANCE,EQ,219.15,216,220.5,215.15,219.85,217.5,22531900
12-03-1996,RELIANCE,EQ,219.85,219.5,238,218.5,231.15,224.76,28669950
13-03-1996,RELIANCE,EQ,231.15,225,228.25,222.25,227.2,225.74,20626200
14-03-1996,RELIANCE,EQ,227.2,227,229.4,225.5,227.15,228.02,21336550
15-03-1996,RELIANCE,EQ,227.15,225.95,226.65,218,219.7,223.11,22223150
18-03-1996,RELIANCE,EQ,219.7,217.45,218,208.9,209.7,213.09,23825350
19-03-1996,RELIANCE,EQ,209.7,209,212.8,192.5,196.8,205.35,37034500
21-03-1996,RELIANCE,EQ,196.8,205,213.1,205,210.9,209.67,23937450
22-03-1996,RELIANCE,EQ,210.9,206.95,206.95,198.5,202.35,202.22,24093300
25-03-1996,RELIANCE,EQ,202.35,204.95,206.1,198.25,201.15,203.43,16322250
26-03-1996,RELIANCE,EQ,201.15,200,204,193.5,199.85,198.47,19007600
27-03-1996,RELIANCE,EQ,199.85,207,209.95,206.05,206.95,207.86,13468250
28-03-1996,RELIANCE,EQ,206.95,207.5,210.7,206.8,209.65,208.9,12832000
29-03-1996,RELIANCE,EQ,209.65,209.4,210.75,206.2,206.85,208.04,11637700
01-04-1996,RELIANCE,EQ,206.85,207.75,209.5,206,208.8,208.27,8836850
02-04-1996,RELIANCE,EQ,208.8,209.25,212,207.25,209.35,209.98,13118200
03-04-1996,RELIANCE,EQ,209.35,214.05,216.4,210.6,211.1,213.3,10604950
04-04-1996,RELIANCE,EQ,211.1,209,209.3,206.4,208.6,207.87,8634450
08-04-1996,RELIANCE,EQ,208.6,211.25,213.2,209.9,212.1,211.45,8144200
09-04-1996,RELIANCE,EQ,212.1,214.75,217.2,211.25,212.35,214.47,11431550
10-04-1996,RELIANCE,EQ,212.35,215,215.95,211.4,212.25,213.37,10179050
11-04-1996,RELIANCE,EQ,212.25,210.25,211.5,208.85,210.05,210.08,7729150
12-04-1996,RELIANCE,EQ,210.05,210.05,217.5,209.1,215.8,213.39,12178600
15-04-1996,RELIANCE,EQ,215.8,220,225.75,219.55,221.35,222.78,17016500
16-04-1996,RELIANCE,EQ,221.35,222,224.75,220,221.85,222.16,13886250
17-04-1996,RELIANCE,EQ,221.85,228,233.75,225.85,231.3,229.1,14638550
18-04-1996,RELIANCE,EQ,231.3,238.5,245.25,236.65,244,240.95,24500850
19-04-1996,RELIANCE,EQ,244,246,250.5,243.55,245.55,247.27,23490050
22-04-1996,RELIANCE,EQ,245.55,248,248.5,236.5,237.75,240.99,20631250
23-04-1996,RELIANCE,EQ,237.75,235.55,238.75,232.5,236.15,235.17,20359900
24-04-1996,RELIANCE,EQ,236.15,247.1,258.1,246.2,255.3,250.69,19097550
25-04-1996,RELIANCE,EQ,255.3,257,262.5,238,242.3,253.31,22143750
26-04-1996,RELIANCE,EQ,242.3,242,247.45,236,244.45,241.52,22583350
29-04-1996,RELIANCE,EQ,244.45,242,243.25,237.75,242.45,240.59,15034000
30-04-1996,RELIANCE,EQ,242.45,242,250,240.5,244.65,242.88,15329500
01-05-1996,RELIANCE,EQ,244.65,267,269.9,264.25,266.05,266.32,17689800
02-05-1996,RELIANCE,EQ,266.05,264,267.6,260,266.25,263.31,18100300
03-05-1996,RELIANCE,EQ,266.25,263.95,265.5,259,260.2,262.51,17620450
06-05-1996,RELIANCE,EQ,260.2,254,255.4,244.3,245.6,250.1,21102750
07-05-1996,RELIANCE,EQ,245.6,245.25,250.45,244.3,248.6,247.89,19587000
08-05-1996,RELIANCE,EQ,248.6,244,253.5,241,249.95,246.06,28050450
09-05-1996,RELIANCE,EQ,249.95,245.25,250.4,242.5,243.85,246.06,21757350
10-05-1996,RELIANCE,EQ,243.85,238,242.65,236.55,241.3,239.41,21646350
13-05-1996,RELIANCE,EQ,241.3,244.5,247.9,243.1,246.4,245.44,14223050
14-05-1996,RELIANCE,EQ,246.4,246,254.9,244.75,253.25,249.28,23243250
15-05-1996,RELIANCE,EQ,253.25,249.25,256,244.05,253.8,249.72,32748350
16-05-1996,RELIANCE,EQ,253.8,256.75,260.5,253.55,255.25,257.67,24583100
17-05-1996,RELIANCE,EQ,255.25,250,253,248.8,250.2,250.78,20182550
20-05-1996,RELIANCE,EQ,250.2,247,247.4,241.6,242.35,244.56,11643300
21-05-1996,RELIANCE,EQ,242.35,240.9,244,239.5,241.5,241.57,16289200
22-05-1996,RELIANCE,EQ,241.5,244,245.2,242.05,242.8,243.91,11401300
23-05-1996,RELIANCE,EQ,242.8,241.2,242.2,239.6,240.8,240.76,10521250
24-05-1996,RELIANCE,EQ,240.8,243.1,243.8,241.8,243.05,242.83,8453750
27-05-1996,RELIANCE,EQ,243.05,241,241,235.5,235.9,238.05,13776550
28-05-1996,RELIANCE,EQ,235.9,231,231,225.55,228.25,228.4,19477700
29-05-1996,RELIANCE,EQ,228.25,233.05,244.5,233.05,241.25,237.29,18374350
30-05-1996,RELIANCE,EQ,241.25,243,243.7,235.3,236.85,238.68,18854900
31-05-1996,RELIANCE,EQ,236.85,240.25,240.5,236.1,238.35,238.18,15921750
03-06-1996,RELIANCE,EQ,238.35,243,246.5,241.5,245.65,244.13,17457450
04-06-1996,RELIANCE,EQ,245.65,249.95,251.45,237.75,242.15,247.23,25677700
05-06-1996,RELIANCE,EQ,242.15,245,245,238.45,240.6,241.13,11917700
06-06-1996,RELIANCE,EQ,240.6,243.95,249,243,244.55,245.5,11819100
07-06-1996,RELIANCE,EQ,244.55,241.1,245.5,240.75,244.35,243.33,7996100
